Box_ID,BoxNumber,BoxedDate,JobNumber,Amazon_PO,ASIN,total_units,Session_ID,Weight
18744A29001,1,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29002,2,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29002,2,7/28/17,,1T4M9SBK,B00099XJXC,20,1E18744-A29,6.60
18744A29003,3,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29004,4,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29005,5,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29006,6,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29007,7,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29008,8,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29009,9,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29010,10,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29011,11,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29011,11,7/28/17,,1T4M9SBK,B000GCHKKK,12,1E18744-A29,2.64
18744A29011,11,7/28/17,,1T4M9SBK,B0046X70J6,107,1E18744-A29,5.35
18744A29012,12,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29013,13,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29014,14,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29015,15,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29015,15,7/28/17,,1T4M9SBK,B00GCZ9X5K,3,1E18744-A29,0.00
18744A29016,16,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29017,17,7/28/17,,1T4M9SBK,B000092YOX,9,1E18744-A29,3.15
18744A29017,17,7/28/17,,1T4M9SBK,B0006GBENK,12,1E18744-A29,3.60
18732A29001,1,7/28/17,,1MHKL13I,B000092YOX,3,1E18732-A29,1.05
18732A29001,1,7/28/17,,1MHKL13I,B000GG0FP8,9,1E18732-A29,0.72
18732A29001,1,7/28/17,,1MHKL13I,B003H3OQTS,108,1E18732-A29,10.80
18805A29001,1,7/28/17,,4S5LSBAC,B019HZR2N6,4,1E18805-A29,40.00
18797A29001,1,7/28/17,,4L2CINBX,B019HZR2N6,4,1E18797-A29,40.00
18751A29001,1,7/28/17,,1Y7OH95A,B00411H8WC,24,1E18751-A29,6.48
18744A29018,18,7/28/17,,1T4M9SBK,B000P1S0NI,12,1E18744-A29,4.80
18744A29018,18,7/28/17,,1T4M9SBK,B004WP0S74,12,1E18744-A29,0.00
18824A29001,1,7/28/17,,7A6ROG1M,B00GRPGLUU,12,1E18824-A29,0.00
18824A29001,1,7/28/17,,7A6ROG1M,B00029F4TQ,12,1E18824-A29,1.92
18824A29001,1,7/28/17,,7A6ROG1M,B00014DRA0,12,1E18824-A29,0.96
18824A29001,1,7/28/17,,7A6ROG1M,B00B7UZF6G,24,1E18824-A29,1.20
18824A29001,1,7/28/17,,7A6ROG1M,B0015C5OXU,12,1E18824-A29,0.00
18824A29001,1,7/28/17,,7A6ROG1M,B001EBSRDG,12,1E18824-A29,0.00
18824A29001,1,7/28/17,,7A6ROG1M,B00O9A1Q5K,8,1E18824-A29,1.28
18800A29001,1,7/28/17,,4L2CINBX,B00016X3KC,12,1E18800-A29,0.00
18800A29001,1,7/28/17,,4L2CINBX,B00394LNMI,42,1E18800-A29,16.80
18800A29001,1,7/28/17,,4L2CINBX,B00XAJI1AE,24,1E18800-A29,1.92
18800A29001,1,7/28/17,,4L2CINBX,B000VH6MEK,24,1E18800-A29,0.00
18751A29002,2,7/28/17,,1Y7OH95A,B005X9IUB4,18,1E18751-A29,15.30
18751A29003,3,7/28/17,,1Y7OH95A,B005X9IUB4,10,1E18751-A29,8.50
18751A29003,3,7/28/17,,1Y7OH95A,B000GG0FP8,52,1E18751-A29,4.16
18778A29001,1,7/28/17,,3CG6GBHR,B005X9IUB4,12,1E18778-A29,10.20
18778A29001,1,7/28/17,,3CG6GBHR,B00IGGZA00,12,1E18778-A29,11.16
18798A29001,1,7/28/17,,4L2CINBX,B005X9IUB4,18,1E18798-A29,15.30
18798A29002,2,7/28/17,,4L2CINBX,B005X9IUB4,18,1E18798-A29,15.30
18798A29003,3,7/28/17,,4L2CINBX,B005X9IUB4,8,1E18798-A29,6.80
18798A29003,3,7/28/17,,4L2CINBX,B01J1KD470,12,1E18798-A29,4.20
18798A29003,3,7/28/17,,4L2CINBX,B000GCIAQS,12,1E18798-A29,1.80
18798A29003,3,7/28/17,,4L2CINBX,B000MT1SLY,12,1E18798-A29,2.40
18806A29001,1,7/28/17,,4S5LSBAC,B005X9IUB4,6,1E18806-A29,5.10
18806A29001,1,7/28/17,,4S5LSBAC,B000GCIAQS,12,1E18806-A29,1.80
18806A29001,1,7/28/17,,4S5LSBAC,B00FW2BR0S,12,1E18806-A29,4.20
